PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
     561    -653  BT*      -1.00                .00000     .00000        .00000
    -561     653  TB*       1.00                .00000     .00000        .00000
     661     663  TT*        .00                .00000     .00000        .00000
 
 
    1120    2212  P         1.00     .93830     .00000     .00000        .00000
   -1120   -2212  AP       -1.00     .93830     .00000     .00000        .00000
    1220    2112  N          .00     .93960     .00000     .00000        .00000
   -1220   -2112  AN         .00     .93960     .00000     .00000        .00000
    1130    3222  S+        1.00    1.18940     .00000     .00000      24.00000
   -1130   -3222  AS-      -1.00    1.18940     .00000     .00000      24.00000
    1230    3212  S0         .00    1.19260     .00000     .00000        .00000
   -1230   -3212  AS0        .00    1.19260     .00000     .00000        .00000
    2130    3122  L          .00    1.11560     .00000     .00000      78.88000
   -2130   -3122  AL         .00    1.11560     .00000     .00000      78.88000
    2230    3112  S-       -1.00    1.19740     .00000     .00000      44.30000
   -2230   -3112  AS+       1.00    1.19740     .00000     .00000      44.30000
    1330    3322  XI0        .00    1.31490     .00000     .00000      86.90000
   -1330   -3322  AXI0       .00    1.31490     .00000     .00000      86.90000
    2330    3312  XI-      -1.00    1.32130     .00000     .00000      49.10000
   -2330   -3312  AXI+      1.00    1.32130     .00000     .00000      49.10000
    1140    4222  SC++      2.00    2.45220     .00000     .00000        .00000
   -1140   -4222  ASC--    -2.00    2.45220     .00000     .00000        .00000
    1240    4212  SC+       1.00    2.45290     .00000     .00000        .00000
   -1240   -4212  ASC-     -1.00    2.45290     .00000     .00000        .00000
    2140    4122  LC+       1.00    2.28490     .00000     .00000        .05400
   -2140   -4122  ALC-     -1.00    2.28490     .00000     .00000        .05400
    2240    4112  SC0        .00    2.45400     .00000     .00000        .00000
   -2240   -4112  ASC0       .00    2.45400     .00000     .00000        .00000
    1340    4322  USC.      1.00    2.55000     .00000     .00000        .00000
   -1340   -4322  AUSC.    -1.00    2.55000     .00000     .00000        .00000
    3140    4232  SUC.      1.00    2.46000     .00000     .00000        .13000
   -3140   -4232  ASUC.    -1.00    2.46000     .00000     .00000        .13000
    2340    4312  DSC.       .00    2.55000     .00000     .00000        .00000
   -2340   -4312  ADSC.      .00    2.55000     .00000     .00000        .00000
    3240    4132  SDC.       .00    2.46000     .00000     .00000        .13000
   -3240   -4132  ASDC.      .00    2.46000     .00000     .00000        .13000
    3340    4332  SSC.       .00    2.73000     .00000     .00000        .13000
   -3340   -4332  ASSC.      .00    2.73000     .00000     .00000        .13000
    1440    4422  UCC.      2.00    3.55000     .00000     .00000        .00000
